"Trait","HD_Mean","HD_SD","HD_CV","LD_Mean","LD_SD","LD_CV"
"Height",84.6075129533679,68.2217723007536,80.6332321083053,235.636904761905,48.6606759547595,20.6507024033132
"Silique Number",91.0816062176166,66.9652896015876,73.5222976213122,581.75,391.613991021863,67.3165433643082
