"Metric","Mean","Median","SD","Min","Max","CV"
"Height (HD)",84.6075129533679,71.5,68.2217723007536,0,273,80.6332321083053
"Height (LD)",235.636904761905,232.5,48.6606759547595,120,375,20.6507024033132
"Silique Number (HD)",91.0816062176166,81,66.9652896015876,0,301,73.5222976213122
"Silique Number (LD)",581.75,477.5,391.613991021863,50,1602,67.3165433643082
