"density","count","mean_height","sd_height","median_height","mean_silique","sd_silique","median_silique"
"HD",1228,111.465798045602,68.312036140022,127,86.0333876221498,74.2792020847915,69.5
"LD",178,238.72191011236,56.4520437721113,235.5,625.724719101124,437.664755168368,505
