RIL,Round,Rep,Height_mm,Silique_no,Height_avgbyrd,Silique_avgbyrd,Height_diff,Silique_diff,,,,
187,0,9,226,286,198.1,199.8,1.14,1.43,,,,
187,0,4,170,101,198.1,199.8,0.86,0.51,,,,
187,0,3,227,200,198.1,199.8,1.15,1.00,,,,
187,0,1,196,95,198.1,199.8,0.99,0.48,,,,
187,0,10,139,50,198.1,199.8,0.70,0.25,,,,
187,0,8,181,124,198.1,199.8,0.91,0.62,,,,
187,0,5,173,146,198.1,199.8,0.87,0.73,,,,
187,0.5,7,315,1398,327.6,727.4,0.96,1.92,,,,
187,0.5,8,331,1126,327.6,727.4,1.01,1.55,,,,
187,0.5,3,409,1265,327.6,727.4,1.25,1.74,,,,
187,5,1,300,1055,220,686.1,,,,,,
187,5,2,271,520,220,686.1,,,,,,
187,5,3,274,1313,220,686.1,,,,,,
187,6,1,279,642,228.8,466.1,,,,,,
187,6,2,253,663,228.8,466.1,,,,,,
187,6,3,245,560,228.8,466.1,,,,,,
189,1,1,266,683,241.6,414.6,1.10,1.65,,,,
189,1,4,251,688,241.6,414.6,1.04,1.66,,,,
189,1,3,196,393,241.6,414.6,0.81,0.95,,,,
189,5,1,172,210,220,686.1,,,,,,
189,5,2,179,132,220,686.1,,,,,,
189,7,1,272,767,271.1,1166.2,,,,,,
189,7,4,309,912,271.1,1166.2,,,,,,
189,7,5,295,817,271.1,1166.2,,,,,,
